id,question,answer,seed,master_seed,subject,subject_area,time_open,gold_reason,gold_reason_source,remarks
127,Can a non-deterministic Turing machine solve problems that a deterministic Turing machine cannot?,B,Non-deterministic Turing Machines,Non-deterministic Turing Machines,theoreticalcs,,NA,"Both non-deterministic Turing machines (NTMs) and deterministic Turing machines (DTMs) are equivalent in their computational power. This means that any problem that can be solved by an NTM can also be solved by a DTM, given enough time and resources. The key distinction between them lies not in their ability to solve problems, but in their efficiency. NTMs can explore multiple computation paths simultaneously, allowing them to find solutions more quickly for certain problems, particularly those in the complexity class NP. However, this does not imply that NTMs can solve problems that DTMs cannot. If an NTM can find a solution to a problem, a DTM can also find that solution, although it may take longer. The complexity classes P and NP illustrate this relationship. P consists of problems that can be solved in polynomial time by a DTM, while NP includes problems for which a solution can be verified in polynomial time by a DTM and can be solved by an NTM in polynomial time. The famous question of whether P equals NP remains unresolved, but it does not suggest that NTMs can solve problems outside the reach of DTMs.",[https://en.wikipedia.org/wiki/Turing_machine],
128,Could the process of cosmic inflation have been triggered by the phase transition at the end of the Grand Unification Epoch?,A,Grand Unified Theories,Grand Unified Theories,physics,,NA,"The Grand Unification Epoch occurred shortly after the Big Bang, approximately between $$10^{-43}$$ seconds and $$10^{-36}$$ seconds. As the universe transitioned from a state of grand unification to a state where the forces became distinct, this phase transition would have involved significant changes in energy density. The rapid release of energy during this transition could have created conditions conducive to inflation, characterized by a negative pressure vacuum energy density.",[https://lweb.cfa.harvard.edu/~ejchaisson/cosmic_evolution/docs/text/text_part_5.html],
129,Does the J-homomorphism from the homotopy groups of orthogonal groups to stable homotopy groups of spheres cause the period 8 Bott periodicity to remain visible?,A,Periodicity,Topological K-theory,mathematics,,NA,,,
130,Is the complex [Ru(bpy)3]Cl2 chiral in nature?,A,Photoredox catalysis,Enantioselective Catalysis,chemistry,,NA,"When viewed along the C3 symmetry axis of the octahedron, the bipyridine ligands can be arranged in either a right-handed or left-handed helical fashion around the central metal ion. This difference in the orientation of the ligands gives rise to two non-superimposable mirror images, making the complex chiral.",[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4028850/],
131,Is the CMB dipole purely kinematic?,C,cosmology,cosmology,physics,,08/2024,"The question of whether the Cosmic Microwave Background (CMB) dipole is purely kinematic remains an open question in cosmology. While the standard interpretation posits that the observed dipole in the CMB is primarily due to the motion of the Solar System through the CMB rest frame, recent studies suggest potential discrepancies that challenge this view.",[https://quantumtheory-bruder.physik.unibas.ch/fileadmin/user_upload/quantumtheory_bruder_physik/People/Tobias_Nadolny/masters_thesis_final_pdf.pdf],
132,Can matching upper and lower bounds be found for k-sets and halving lines?,C,discrete_geometry,discrete_geometry,mathematics,,08/2024,"The large gap between the upper and lower bounds, especially in the plane, indicates that the exact asymptotic growth rate of k-sets and halving lines is still not fully understood. Closing the gap and finding matching upper and lower bounds appears to be a challenging open problem.",[https://link.springer.com/article/10.1007/s00454-012-9403-y],
133,Can the rate constant of a reaction be independent of the concentration of reactants?,A,chemistry,chemistry,chemistry,,NA,The rate constant is a proportionality factor in the rate law that relates the rate of a chemical reaction to the concentrations of the reactants. It is specific to a particular reaction at a given temperature and does not change with the concentration of the reactants.,[https://en.wikipedia.org/wiki/Reaction_rate_constant],
134,Are explicit necessary and sufficient conditions available to determine when the integral curve is closed?,C,differential_geomtery,differential_geomtery,mathematics,,08/2024,"In mathematics, particularly in the study of vector fields and line integrals, determining conditions under which integral curves are closed involves understanding the properties of the vector field and the path taken by the curve. The existence of necessary and sufficient conditions often depends on the specific characteristics of the vector field in question. For example, a vector field is conservative (and thus has closed integral curves) if its curl is zero, which is a necessary and sufficient condition for path independence in line integrals. However, the broader question of whether explicit conditions can be universally applied across all types of vector fields remains an area of ongoing research and exploration. Thus, while specific cases may have established conditions, the general inquiry about explicit necessary and sufficient conditions for all scenarios is still open.",[https://math.libretexts.org/Bookshelves/Calculus/Vector_Calculus_%28Corral%29/04:_Line_and_Surface_Integrals/4.02:_Properties_of_Line_Integrals],
135,Are the homotopy groups of the unitary group periodic with respect to dimension?,A,Topological K-theory,Topological K-theory,mathematics,,NA,"The Bott periodicity theorem states that the homotopy groups of the unitary group $$ U(n) $$ exhibit periodic behavior. Specifically, it asserts that:  $$ \pi_k(U(n)) \cong \pi_{k+2}(U(n+1)) $$ for sufficiently large $$ n $$. This means that the homotopy groups of the unitary group repeat every 2 dimensions. The unitary group can be viewed as an inductive limit of the finite-dimensional unitary groups $$ U(n) $$ as $$ n $$ approaches infinity, denoted as $$ U(\infty) $$. The homotopy groups of $$ U(\infty) $$ are stable, meaning they do not change as $$ n $$ increases beyond a certain point. The stable homotopy groups of the unitary group are periodic with respect to dimension, reflecting the periodicity observed in the homotopy groups of spheres. Specifically, the stable homotopy groups $$ \pi_k(U(\infty)) $$ are periodic with a period of 8, meaning: $$ \pi_k(U(\infty)) \cong \pi_{k+8}(U(\infty)) $$.",,
136,Can CVD be used to deposit materials such as titanium nitride and various high-κ dielectrics?,A,Graphene production techniques,Quantum Spin Hall Effect in Graphene Nanoribbons,physics,,NA,"CVD is a well-established method for producing titanium nitride films. Research has demonstrated that TiN can be effectively deposited using CVD processes involving titanium chlorides and ammonia at various temperatures. For instance, one study outlines a method for depositing TiN films at substrate temperatures between 400 and 700 °C, utilizing TiCl₄ and NH₃ as precursors, which allows for good control over film properties and quality .",[https://www.sciencedirect.com/science/article/abs/pii/0040609086902713],
137,Can stars exchange mass in close binary systems?,A,Compact object,Compact Object Mergers,physics,,NA,"In close binary systems, the gravitational influence of each star creates a teardrop-shaped region called the Roche lobe around each star. If one of the stars expands, for example when it evolves into a red giant, it can fill its Roche lobe. This allows material from the star's outer layers to flow through the inner Lagrangian point (L1) between the two stars and accrete onto the companion star.",[https://www.teachastronomy.com/textbook/The-Milky-Way/Mass-Transfer-in-Binaries/],
138,Are weakly interacting massive particles proposed candidates for Cold Dark Matter?,A,Meta-cold dark matter,Axion Cosmology and Early Universe Constraints,physics,,NA,"Weakly interacting massive particles are hypothetical particles that are characterized by their weak interactions with ordinary matter and their relatively large mass (typically in the range of 1 GeV to 1 TeV). They are not part of the Standard Model of particle physics but are often predicted by extensions of the model, such as supersymmetry. Their weak interactions imply that they do not absorb or emit light, making them ""dark"" and difficult to detect directly.",[https://en.wikipedia.org/wiki/Weakly_interacting_massive_particle],
139,Is the stability of a metal aquo complex always directly proportional to the charge density of the metal ion?,B,chemistry,chemistry,chemistry,,NA,"The Irving-Williams series, which describes the stability trend for divalent transition metal aquo complexes, is not solely determined by charge density. It also depends on LFSE and the Jahn-Teller effect. Highly charged metal ions, such as Al3+ and Cr3+, form very stable aquo complexes due to their high charge density. However, these complexes can undergo hydrolysis and form hydroxo complexes, which are more stable under certain conditions.","[https://chem.libretexts.org/Courses/Saint_Marys_College_Notre_Dame_IN/CHEM_431:_Inorganic_Chemistry_%28Haas%29/CHEM_431_Readings/15:_Thermodynamics_Trends_in_Metal_Complex_Stability/15.03:_Trends_in_M-L_stability_%28Thermodynamics%29, https://chem.libretexts.org/Courses/Saint_Marys_College_Notre_Dame_IN/CHEM_342:_Bio-inorganic_Chemistry/Readings/Week_7:_LFT_for_Other_Geometries___Applying_LFT_to_predict_Kinetics_of_M-L_Exchange/7.2:_Trends_in_Stability_and_Lability/7.2.1:_Trends_in_M-L_stability_%28Thermodynamics%29]",
140,Would a weak 2-category require associativity via coherent isomorphisms?,A,Homotopy Theory,Homotopy Theory,mathematics,,NA,"In a weak 2-category, when we compose three morphisms, the order in which we compose them can affect the outcome in a non-strict manner. For example, if we have morphisms $$ f, g, h $$, we can compose them as $$ (f \circ g) \circ h $$ or $$ f \circ (g \circ h) $$. In a weak 2-category, these compositions are not strictly equal but are related by a coherent isomorphism. The requirement for coherence ensures that these isomorphisms behave consistently. For instance, if we have different ways to associate the compositions, there must be coherent isomorphisms that relate these different compositions. This coherence is crucial for maintaining the integrity of the structure of the weak 2-category.",,
141,Can a regular expression represent all possible languages over an alphabet?,B,Regular Expressions,Regular Expressions,theoreticalcs,,NA,"Regular expressions are limited in their expressive power. They can only describe regular languages, which are the simplest class of formal languages in the Chomsky hierarchy. Regular languages are accepted by finite automata and have certain limitations, such as not being able to count or keep track of an unbounded amount of information. The set of all possible languages over an alphabet is uncountably infinite. For example, if the alphabet is {0, 1}, the power set of {0, 1}* (the set of all strings over {0, 1}) contains uncountably many languages. However, the set of regular expressions over an alphabet is countable, as each regular expression is a finite string. There are languages that are not regular and therefore cannot be described by any regular expression. For example, the language {0^n 1^n | n ≥ 0} over the alphabet {0, 1} is not regular, as it requires counting the number of 0's to match them with the 1's. This is beyond the capabilities of regular expressions and finite automata.",[https://www.cl.cam.ac.uk/teaching/2003/RLFA/notes.pdf],
142,Does every representation of a Lie group correspond to a smooth homomorphism of the group into the group of invertible operators on the vector space?,A,Representation theory of the Lorentz group,Cluster Algebras and Quantum Groups,mathematics,,,,,
143,Could the sterile neutrino be a candidate for dark radiation?,A,Dark Photons,Dark Photons,physics,,NA,"Sterile neutrinos are hypothetical particles that do not interact through any of the Standard Model forces, except possibly through mixing with the active neutrinos. If sterile neutrinos are light enough to be relativistic in the early universe, they could contribute to the dark radiation density, potentially explaining any observed excess beyond the Standard Model prediction.",[https://physics.aps.org/articles/v7/s50],
144,Is composition of morphisms the same as function composition?,A,Non-commutative Geometry in String Theory,Non-commutative Geometry in String Theory,physics,,NA,"Just as functions can be composed to form new functions, morphisms can also be composed. In a category, if there is a morphism $$ f: A \to B $$ and another morphism $$ g: B \to C $$, their composition $$ g \circ f $$ is defined, resulting in a new morphism from $$ A $$ to $$ C $$. This composition is subject to specific rules, such as associativity, similar to function composition. The composition of morphisms adheres to the same fundamental properties as function composition. It is associative, meaning that for any three composable morphisms $$ f, g, h $$, the equation $$ h \circ (g \circ f) = (h \circ g) \circ f $$ holds. Additionally, for every object in a category, there exists an identity morphism that acts as a neutral element for composition, analogous to the identity function in set theory.",[https://en.wikipedia.org/wiki/Morphism],
145,Is the cocountable topology on an uncountable set Hausdorff?,B,Topology,Topology,mathematics,,NA,"In the cocountable topology on an uncountable set $$ X $$, any two non-empty open sets $$ U $$ and $$ V $$ are both cocountable. This means that their complements are countable. Since the union of two countable sets is countable, the intersection $$ U \cap V $$ will also be at least uncountable (as it contains all points of $$ X $$ except for a countable number from both $$ U $$ and $$ V $$). Therefore, $$ U $$ and $$ V $$ cannot be disjoint; they will always intersect. Given any two distinct points $$ x $$ and $$ y $$ in $$ X $$, any open set containing $$ x $$ must also contain all but countably many points of $$ X $$, including $$ y $$. Consequently, it is impossible to find disjoint neighborhoods around $$ x $$ and $$ y $$. ",,
146,Can the distance between two points in a metric space be negative?,B,Topology,Topology,mathematics,,NA,The distance function in a metric space is defined to be a non-negative function.,,
147,Can thermal fluctuations cause spins to enter a ferromagentic phase?,A,Quantum simulator,Topological Phases of Matter in Optical Lattices,physics,,NA,"Mean-field theory (MFT) predicts that thermal fluctuations can drive a paramagnetic to ferromagnetic phase transition in the Ising model. Above a critical temperature, thermal fluctuations are strong enough to destroy the magnetic ordering, while below the critical temperature, the system enters a ferromagnetic state.",[https://bpb-us-w2.wpmucdn.com/u.osu.edu/dist/3/67057/files/2020/01/Ising_model_MFT.pdf],
148,Can a molecule exhibit both molecular orbital and crystal field theory behavior in different bonding situations?,A,chemistry,chemistry,chemistry,,NA,"Organometallic complexes, which contain metal-carbon bonds, can exhibit both MO theory and CFT behavior. The metal-carbon bonds are often described using MO theory, while the interactions between the metal ion and other ligands can be analyzed using CFT.",[https://en.wikipedia.org/wiki/Organometallic_chemistry],
149,Is the entropy of a substance always positive at absolute zero temperature?,B,chemistry,chemistry,chemistry,,NA,The entropy of a perfect crystalline substance at absolute zero is defined to be zero according to the third law of thermodynamics.,[https://en.wikipedia.org/wiki/Third_law_of_thermodynamics],
150,Does a start capacitor improve motor efficiency?,B,Polymer capacitor,Polymerization Mechanisms,chemistry,,NA,"Start capacitors are specifically designed to provide a temporary boost of electrical energy to help start the motor. They create a phase shift in the current, which is essential for generating a strong starting torque. This allows the motor to overcome inertia and reach a sufficient speed quickly. The start capacitor is only engaged during the initial startup phase of the motor. Once the motor reaches approximately 75% of its full speed, the start capacitor is disconnected from the circuit. The efficiency of a motor is generally defined by its performance during continuous operation. Since the start capacitor is not in the circuit during this phase, it does not contribute to the motor's efficiency.",[https://www.ijraset.com/research-paper/performance-analysis-and-control-of-a-capacitor-start-induction-motor],
151,Does the GUT model predict a violation of baryon number conservation during the decay process?,A,Grand Unified Theories,Grand Unified Theories,physics,,NA,"In GUTs, the same particle representations can include both quarks and leptons. This means that interactions mediated by gauge bosons (such as those predicted in GUTs) can lead to processes where baryons (particles with baryon number +1) can decay into leptons (particles with baryon number 0) and other particles, effectively violating baryon number conservation. This is a fundamental aspect of many GUT models, such as SU(5) and SO(10).",[https://indico.cern.ch/event/1103445/contributions/4693151/attachments/2389411/4084402/Baryon%20Number%20Violation%20Whitepaper.pdf],
152,Does Hyperbolic n-space possess a constant positive sectional curvature?,B,Hyperbolic geometry,Geometry,mathematics,,NA,"Hyperbolic n-space is known to have constant sectional curvature, specifically equal to $$-1$$. This means that for every point in hyperbolic space and every 2-dimensional plane through that point, the sectional curvature is the same and negative.",,
153,Is the parabola a closed curve?,B,Curve orientation,Convex Geometry,mathematics,,NA,"A parabola is defined as the set of all points that are equidistant from a fixed point (the focus) and a fixed line (the directrix). This definition inherently implies that the parabola is not closed, as it does not return to a starting point.",,
154,Does every two distinct vertices in a clique need to be adjacent?,A,Clique (graph theory),Graph Theory,mathematics,,NA,"By definition, a clique is a set of vertices where every two distinct vertices are adjacent. This means that for any two vertices $$ u, v \in C $$, where $$ u \neq v $$, there must exist an edge $$ (u, v) \in E $$.",,
155,Is the I-motif DNA structure stabilized at mildly basic pH values?,B,Graphene quantum dot,Quantum Hall Effect in Graphene Nanoribbons,physics,,NA,"The I-motif structure, which is formed by cytosine-rich sequences, is stabilized under acidic conditions. Specifically, it is most stable at pH values around 5.5 or lower. At these pH levels, the cytosine bases can form protonated C:C+ base pairs, which are essential for the structural integrity of the I-motif.",[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6144788/],
156,Does the characteristic of a field need to be equal to 2 for a skew-symmetric matrix to be symmetric?,A,Symplectic matrix,Symplectic Field Theory,mathematics,,,,,
157,Does coronal mass ejection play a role in magnetospheric substorms?,C,plasma_physics,plasma_physics,physics,,08/2024,"While it is established that CMEs can trigger geomagnetic storms, the precise mechanisms by which they contribute to magnetospheric substorms are still being researched. The interactions involve various factors, including the orientation of the magnetic field within the CME and its speed, which can influence how effectively it couples with Earth's magnetic field. CMEs exhibit a wide range of properties, such as speed, mass, and magnetic field configuration. This variability can lead to different effects on the magnetosphere, making it challenging to draw definitive conclusions about their role in substorms",[https://geoscienceletters.springeropen.com/articles/10.1186/s40562-016-0039-2],
158,Does the Euler characteristic of a compact affine manifold vanish?,C,differential_geomtery,differential_geomtery,mathematics,,08/2024,"This is considered open because, despite being supported by several cases and results, a general proof has yet to be given. Chern's conjecture, which posits this vanishing property, has been validated for specific types of manifolds, such as 2-dimensional and complete affine manifolds, as well as in certain geometric contexts. However, counterexamples exist that challenge the conjecture's validity in broader scenarios, and attempts to provide a comprehensive proof have encountered significant obstacles, including flawed arguments in proposed solutions. As a result, the conjecture remains unresolved, making it an intriguing area of ongoing research in differential geometry and topology.",[https://arxiv.org/abs/1802.03624],
159,Can the simply connected Lie groups have non-isomorphic Lie algebras?,B,Lie algebra,Rational Homotopy Theory,mathematics,,NA,There is a one-to-one correspondence between simply connected Lie groups and their Lie algebras.,,
160,Is it possible to devise an algorithm that determines whether a given program will terminate for all inputs?,B,Termination Analysis,Termination Analysis,theoreticalcs,,NA,"The primary reason is rooted in the Halting Problem, which was famously proven undecidable by Alan Turing. The Halting Problem states that there is no general algorithm that can determine whether any arbitrary program will halt (terminate) for a given input. This problem is more complex than simply checking if a program terminates for some inputs; it requires a solution that applies to all possible inputs. Since the Halting Problem is undecidable, it follows that a similar decision problem regarding the termination of programs for all inputs is also undecidable. Furthermore, if we were to create such an algorithm, it would imply that we could solve the Halting Problem, which contradicts Turing's proof. The implications of this undecidability extend to the realm of termination analysis, where researchers have developed tools to analyze program termination. However, these tools cannot provide definitive answers for all programs and inputs; they can only offer partial solutions or indicate when they cannot determine termination.",[https://research.ibm.com/haifa/conferences/hvc2012/papers/paper4.pdf],
161,Do Korarchaeota have metabolic processes?,C,non_human_organs_and_biomolecules,non_human_organs_and_biomolecules,biology,,08/2024,"While Korarchaeota are believed to possess some metabolic processes, the specifics remain largely unexplored. They are thought to have characteristics that may link them to early archaeal forms, and some studies suggest they could utilize pathways similar to those found in other archaeal lineages. For instance, some archaea can fix carbon dioxide through specific metabolic pathways, but it is unclear if Korarchaeota share these capabilities. The lack of cultured representatives and the limited genomic data contribute to the uncertainty surrounding their metabolic processes. Thus, the question remains open, inviting further research to elucidate the metabolic functions of Korarchaeota and their ecological roles in extreme environment.",[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4640172/],
162,Does quantum tunnelling have a role in nuclear fusion and alpha radioactive decay?,A,Quantum chaos,Chaos Theory,physics,,NA,"Quantum tunneling allows particles to penetrate through the Coulomb barrier despite not having enough energy to overcome it classically. According to quantum mechanics, particles are described by wavefunctions, which can extend into regions of classically forbidden energy. This means there is a finite probability that a particle can ""tunnel"" through the barrier and fuse with another nucleus.",[https://evincism.com/quantum-tunneling-in-the-sun/],
163,Is it possible to extract single-atom-thick crystallites at a high enough temperature that they remain in the quenched state prescribed by the original higher-temperature 3D growth?,B,Quantum Spin Hall Effect in Graphene Nanoribbons,Quantum Spin Hall Effect in Graphene Nanoribbons,physics,,NA,"At high temperatures, the thermal energy is sufficient to overcome the binding forces that stabilize single-atom-thick crystallites. This leads to increased atomic mobility, which can cause the crystallites to rearrange or even coalesce into larger structures, thus losing their single-atom-thick characteristic.",[https://pubs.acs.org/doi/10.1021/acsami.2c19743],
164,Is the composition of two quasi-isomorphisms always a quasi-isomorphism?,A,Cone (category theory),Categorical Logic,mathematics,,NA,"Let us consider two quasi-isomorphisms: Let $$ f: A \to B $$ be a quasi-isomorphism. Let $$ g: B \to C $$ be another quasi-isomorphism. We want to show that the composition $$ g \circ f: A \to C $$ is also a quasi-isomorphism. Since $$ f $$ is a quasi-isomorphism, it induces isomorphisms on homology: $$ H_n(f): H_n(A) \to H_n(B) \text{ is an isomorphism for all } n. $$ Similarly, since $$ g $$ is a quasi-isomorphism, it induces isomorphisms on homology: $$ H_n(g): H_n(B) \to H_n(C) \text{ is an isomorphism for all } n. $$ Now consider the composition of the induced maps on homology: $$ H_n(g \circ f) = H_n(g) \circ H_n(f): H_n(A) \to H_n(C). $$ Since $$ H_n(f) $$ is an isomorphism, it has an inverse. Therefore, the composition $$ H_n(g) \circ H_n(f) $$ is also an isomorphism because it is the composition of two isomorphisms.",,
165,Can the energy levels of a physical system be continuous?,B,Timeline of classical mechanics,Classical Mechanics,physics,,NA,"The energy levels of a physical system are quantized due to the wave-like nature of particles in a confined space. Only discrete energy values are allowed, although the spacing between levels becomes smaller for higher energies, approaching a continuous spectrum in the classical limit.",[https://chem.libretexts.org/Courses/Pacific_Union_College/Quantum_Chemistry/03:_The_Schrodinger_Equation_and_a_Particle_in_a_Box/3.05:_The_Energy_of_a_Particle_in_a_Box_is_Quantized],
166,Can CVD produce materials in amorphous or polycrystalline form?,A,Graphene production techniques,Quantum Spin Hall Effect in Graphene Nanoribbons,physics,,NA,"By manipulating the growth conditions, such as the temperature and the flow rates of the precursor gases, CVD allows for the control of the microstructure of the deposited films. For example, lower temperatures can favor the formation of amorphous materials, while higher temperatures can promote crystalline growth. This flexibility enables the production of a wide range of material properties.",[https://www.sciencedirect.com/science/article/abs/pii/0022024883903421],
167,Can the relative phase of two coherent waves be changed?,A,Quantum network,Quantum Simulation of Many-Body Physics with Rydberg Atoms,physics,,NA,"The relative phase between two coherent waves can be changed by introducing an optical path difference (OPD) between them. This can be done by placing a transparent medium with a different refractive index in the path of one of the waves, or by physically changing the path length of one of the waves.",,
168,Can Van der Waals forces be used for irreversible covalent bonding between a ligand and target molecule?,B,Bimolecular fluorescence complementation,Fluorescence Spectroscopy,chemistry,,NA,"Covalent bonds are generally irreversible under normal conditions, as breaking them requires substantial energy input. Van der Waals forces are weak and easily disrupted, allowing for reversible interactions between molecules.",[https://en.wikipedia.org/wiki/Non-covalent_interaction],
169,Does the order of consumption reflect any preference?,C,behavioral_economics,behavioral_economics,economics,,,,,TBR
170,Does an intrinsically expanding universe require the existence of space outside of it?,B,Inflationary epoch,Inflationary Cosmology,physics,,NA,"If the universe were to expand into an external space, it would raise questions about the nature of that external space and its relationship to the universe. It would also imply that the external space existed before the Big Bang, which is not consistent with our current understanding of the origin of space and time in the Big Bang.",[https://www.britannica.com/science/cosmology-astronomy/The-cosmological-expansion],
171,Are all infinite-dimensional vector spaces equipped with at least two linear subspaces?,A,Basis (linear algebra),Linear Algebra,mathematics,,NA,The zero subspace and a subspace spanned by a non-zero vector of the subspace.,,
172,Is the activated complex an arrangement of atoms at the saddle point of a potential energy surface?,A,Transition State Theory,Transition State Theory,chemistry,,NA,"The activated complex, also known as the transition state, is the highest energy arrangement of atoms along the reaction pathway. It represents a transient state that occurs during the transformation of reactants to products. This complex is at the saddle point of the potential energy surface, where the system has enough energy to proceed to the products but has not yet fully transitioned into a more stable configuration.",[https://is.muni.cz/el/sci/podzim2015/C9920/um/The_concept_of_PES.pdf],
173,Are all Mersenne numbers of prime index square-free?,C,prime_number_conjectures,prime_number_conjectures,mathematics,,,,,TBR
174,Will the addition of a strong base to a metal hydride always result in the liberation of hydrogen gas?,B,chemistry,chemistry,chemistry,,NA,"If the metal hydride is more covalent in nature or if the reaction conditions (such as temperature or solvent) are not suitable, the expected reaction may not proceed to liberate hydrogen gas.",[https://www.britannica.com/science/hydride],
175,Does chiral symmetry guarantee that a Hamiltonian has time reversal symmetry?,B,Topological Insulators in Time-Reversal Invariant Systems,Topological Insulators in Time-Reversal Invariant Systems,physics,,NA,"There are Hamiltonians that exhibit chiral symmetry but do not have time reversal symmetry. For example, certain models in condensed matter physics, such as those describing topological insulators or certain fermionic systems, can demonstrate chiral symmetry without satisfying time reversal invariance due to the presence of magnetic fields or other factors that explicitly break time reversal symmetry.",[https://topocondmat.org/w1_topointro/0d.html],
176,Can a fermionic condensate be formed at higher temperatures than a Bose–Einstein condensate?,B,Bose–Einstein condensate,Superfluidity in Ultracold Fermionic Atom Mixtures,physics,,NA,"Fermionic condensates are formed through a process called Cooper pairing, where fermions pair up at extremely low temperatures, typically near absolute zero. This is essential because fermions, which obey the Pauli Exclusion Principle, must form pairs to behave collectively as bosons. The transition to a fermionic condensate requires temperatures significantly lower than those needed for Bose–Einstein condensates (BECs), which can form at higher temperatures but still require cooling to near absolute zero.",[https://en.wikipedia.org/wiki/Fermionic_condensate],
177,Can the pH of a solution affect the zeolite membrane formation process?,A,Gas Separation Membranes,Gas Separation Membranes,chemistry,,NA,"The pH can affect the Si/Al ratio of the zeolite framework, which in turn influences the properties of the zeolite membrane, such as its stability, permeability, and selectivity. Different pH values can lead to variations in the composition of the zeolite formed, impacting the final membrane characteristics.","[https://www.iza-online.org/synthesis/VS_2ndEd/pH.htm, https://en.wikipedia.org/wiki/Zeolite_membrane]",
178,Does entropic gravity abide by the second law of thermodynamics?,A,Euclidean quantum gravity,Quantum Gravity,physics,,NA,"In the context of entropic gravity, gravitational interactions can be understood in terms of changes in entropy. For example, when matter collapses under gravity to form structures like stars and galaxies, the gravitational potential energy is converted into heat, leading to an increase in the entropy of the system. This process aligns with the second law, as the overall entropy of the universe increases during gravitational collapse.",[https://www.mdpi.com/1099-4300/17/12/7883],
179,Is the nature of spacetime at the Planck scale continuous or discrete?,C,quantum_gravity,quantum_gravity,physics,,08/2024,"Whether spacetime is continuous or discrete at the Planck scale remains open due to the lack of a complete theory of quantum gravity and the inability to directly observe or experiment at such small scales. Current theories, like general relativity and quantum mechanics, are incompatible at the Planck scale, suggesting a breakdown in our understanding of spacetime at this level. While some speculative theories, such as loop quantum gravity, propose a discrete structure, these models are not yet fully developed or validated. The inability to directly test these ideas experimentally, due to the immense energies required, means that the fundamental nature of spacetime at the Planck scale continues to be an open and intriguing question in theoretical physics.",[https://inspirehep.net/files/8c366c238f915febc32c4ff0126b47d1],
180,Can a time crystal remain in its quantum ground state indefinitely?,A,Frank Wilczek,Axion Cosmology,physics,,NA,"Time crystals can maintain their oscillatory motion indefinitely due to their inherent stability. The oscillations arise from the interactions between particles in the system, which can be finely tuned to avoid energy dissipation. As a result, the time crystal does not lose energy to the environment, allowing it to remain in its ground state without ""melting"" into a higher energy state.",[https://arxiv.org/abs/2110.06194],
181,Is the preponderance of specific enantiomers in biochemical systems be explained through homochirality?,C,biophysics,biophysics,physics,,08/2024,"Research has shown that enantiomeric excess can occur under specific conditions, and experiments have been conducted to explore how these processes might have operated in prebiotic environments. For instance, studies have indicated that certain catalysts can preferentially promote the formation of one enantiomer, thus providing insights into how homochirality might have been established and maintained. The question of whether homochirality is a universal characteristic of life or a unique feature of terrestrial biology remains unresolved. Some researchers argue that if life exists elsewhere in the universe, it may also exhibit homochirality, while others suggest that it could be a result of specific historical contingencies on Earth",[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3158912/],
182,Can the Kronecker coefficients be given a combinatorial interpretation?,C,combinatorics,combinatorics,mathematics,,08/2024,"As of August, 2024, there is no known positive combinatorial interpretation for these coefficients. Workshops and discussions have focused on related problems, such as the positivity of Kronecker coefficients and specific cases where they can be computed. Some progress has been made in special cases, but a general combinatorial interpretation remains elusive. For instance, certain methods involving partition algebra representations and geometric interpretations have been proposed, but these do not yet provide a comprehensive solution to the problem","[https://www.math.ucla.edu/~pak/hidden/papers/Panova_Porto_meeting.pdf, https://aimath.org/pastworkshops/kroncoeffrep.pdf, https://www2.math.upenn.edu/~vvtewari/Kronecker-v2.0.pdf]",
183,Does the periodic crystal state represent a spontaneous symmetry breaking of the continuous translational symmetry in space?,A,Frank Wilczek,Axion Cosmology,physics,,NA,"When a material undergoes a phase transition from a disordered state (like a liquid or gas) to a crystalline state, the arrangement of atoms becomes periodic. This periodicity breaks the continuous translational symmetry because the crystal structure is invariant only under specific translations (by the lattice vectors), rather than all possible translations. The concept of an order parameter is crucial in understanding spontaneous symmetry breaking. In the case of crystals, the order parameter can be thought of as the density of atoms in specific positions in the lattice. This parameter indicates the degree of order in the system and reflects the symmetry breaking: the ordered arrangement of atoms signifies a loss of the original translational symmetry.",[https://en.wikipedia.org/wiki/Spontaneous_symmetry_breaking],
184,Does QCD truly lack CP violations?,C,nuclear_physics,nuclear_physics,physics,,08/2024,"The most popular proposed solutions to the strong CP problem, such as the Peccei-Quinn mechanism and axions, require introducing new particles and interactions beyond the Standard Model. The fact that the strong CP problem has not been satisfactorily resolved within QCD keeps the question open.",[https://arxiv.org/abs/1810.03543],
185,Is the Minkowski spacetime of special relativity nonlinearly stable?,A,Demetrios Christodoulou,Gravitational Wave Memory Effect,physics,,NA,"The stability of Minkowski spacetime has been studied through perturbative methods. Researchers like Christodoulou and Klainerman have shown that small perturbations in the form of gravitational waves or matter fields will propagate in a controlled manner and decay over time, allowing the spacetime to return to its original flat structure. The work by Christodoulou and Klainerman established that for initial data close to that of Minkowski spacetime, the solutions to the Einstein equations remain close to Minkowski spacetime for all time. This result indicates that the Minkowski solution is globally stable under small perturbations, which is a hallmark of nonlinear stability.",[http://www.numdam.org/article/SEDP_1989-1990____A15_0.pdf],
